iter	Passed	Remaining
303	814	1864
304	816	1861
305	819	1858
306	823	1858
307	827	1858
308	830	1858
309	832	1852
310	833	1847
311	836	1845
312	839	1841
313	841	1839
314	844	1836
315	845	1831
316	847	1826
317	850	1823
318	851	1818
319	853	1814
320	856	1811
321	857	1806
322	859	1801
323	860	1795
324	863	1792
325	864	1787
326	866	1782
327	867	1777
328	871	1776
329	872	1772
330	874	1767
331	877	1765
332	879	1760
333	880	1756
334	883	1754
335	885	1749
336	887	1745
337	889	1743
338	891	1739
339	893	1734
340	896	1732
341	898	1728
342	899	1723
343	901	1718
344	903	1715
345	905	1711
346	912	1716
347	914	1713
348	918	1712
349	920	1709
350	922	1705
351	926	1705
352	928	1702
353	934	1705
354	938	1705
355	940	1701
356	942	1697
357	944	1694
358	946	1690
359	949	1688
360	951	1684
361	953	1680
362	955	1677
363	957	1673
364	961	1672
365	965	1671
366	967	1668
367	970	1666
368	972	1662
369	974	1658
370	976	1655
371	978	1651
372	980	1648
373	983	1646
374	985	1641
375	986	1637
376	987	1632
377	990	1630
378	992	1625
379	993	1621
380	997	1621
381	999	1617
382	1001	1613
383	1004	1611
384	1005	1606
385	1007	1601
386	1008	1597
387	1010	1593
388	1013	1591
389	1014	1586
390	1017	1584
391	1018	1580
392	1020	1575
393	1021	1570
394	1024	1568
395	1026	1565
396	1027	1561
397	1029	1557
398	1031	1553
399	1033	1550
400	1038	1551
401	1040	1547
402	1041	1543
403	1044	1540
404	1045	1536
405	1047	1531
406	1048	1527
407	1051	1525
408	1052	1520
409	1053	1516
410	1055	1512
411	1057	1509
412	1059	1505
413	1060	1500
414	1061	1496
415	1063	1493
416	1065	1489
417	1066	1485
418	1069	1483
419	1071	1479
420	1072	1475
421	1074	1471
422	1077	1469
423	1078	1465
424	1079	1460
425	1081	1456
426	1082	1452
427	1084	1449
428	1086	1446
429	1088	1442
430	1093	1443
431	1096	1442
432	1099	1439
433	1100	1435
434	1103	1432
435	1104	1428
436	1105	1424
437	1107	1420
438	1108	1416
439	1111	1414
440	1112	1410
441	1113	1406
442	1115	1402
443	1117	1399
444	1119	1396
445	1120	1392
